file,error
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/KBo 23.102.xml,"not well-formed (invalid token): line 7, column 113"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/KBo 56.235.xml,"not well-formed (invalid token): line 7, column 0"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/KBo 56.194.xml,"not well-formed (invalid token): line 6, column 0"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/CHDS 2.152.xml,"not well-formed (invalid token): line 4, column 64"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/KBo 3.52.xml,"not well-formed (invalid token): line 4, column 50"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/KBo 35.9.xml,"not well-formed (invalid token): line 6, column 0"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/KBo 37.153.xml,"not well-formed (invalid token): line 4, column 54"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/KBo 51.239.xml,"not well-formed (invalid token): line 4, column 81"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/KBo 49.82.xml,"not well-formed (invalid token): line 4, column 51"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/KBo 56.250.xml,"not well-formed (invalid token): line 6, column 94"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/CHDS 2.154.xml,"not well-formed (invalid token): line 4, column 52"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/CHDS 3.179.xml,"not well-formed (invalid token): line 4, column 54"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/KBo 61.252.xml,"not well-formed (invalid token): line 5, column 0"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/IBoT 4.235.xml,"not well-formed (invalid token): line 4, column 60"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/KBo 61.251.xml,"not well-formed (invalid token): line 6, column 0"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/CHDS 2.167.xml,"not well-formed (invalid token): line 4, column 54"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/KBo 35.22.xml,"not well-formed (invalid token): line 4, column 123"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/KUB 58.67.xml,"not well-formed (invalid token): line 4, column 117"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/CHDS 2.164.xml,"not well-formed (invalid token): line 5, column 0"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/CHDS 2.165.xml,"not well-formed (invalid token): line 5, column 0"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/KBo 56.260.xml,"not well-formed (invalid token): line 5, column 0"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/KBo 46.328.xml,"not well-formed (invalid token): line 4, column 81"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/KBo 32.225.xml,"not well-formed (invalid token): line 6, column 0"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/KBo 70.37.xml,"not well-formed (invalid token): line 5, column 0"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/CHDS 2.162.xml,"not well-formed (invalid token): line 6, column 0"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/KBo 46.276.xml,"not well-formed (invalid token): line 6, column 57"
